year,CTYNAME,CHN_1,CHN_2,CHN_3,CHN_4,CHN_5,CHN_6,CHN_7,CHN_8,CHN_9,CHN_10,CHN_11,CHN_12,USA_1,USA_2,USA_3,USA_4,USA_5,USA_6,USA_7,USA_8,USA_9,USA_10,USA_11,USA_12
2013,Sri Lanka,100 ,67 ,327 ,46 ,296 ,99 ,145 ,221 ,489 ,244 ,312 ,122 ,357 ,436 ,771 ,167 ,86 ,157 ,311 ,434 ,672 ,476 ,610 ,229 
2013,Tajikistan,34 ,9 ,11 ,91 ,57 ,59 ,81 ,49 ,312 ,22 ,82 ,120 ,60 ,101 ,41 ,68 ,34 ,45 ,60 ,96 ,80 ,73 ,88 ,32 
2013,Thailand,318 ,228 ,351 ,102 ,174 ,308 ,315 ,697 ,805 ,1918 ,492 ,532 ,522 ,470 ,496 ,194 ,203 ,648 ,790 ,1038 ,1418 ,781 ,962 ,791 
2013,Ukraine,67 ,58 ,76 ,18 ,36 ,81 ,45 ,61 ,425 ,140 ,97 ,797 ,388 ,367 ,634 ,185 ,178 ,617 ,724 ,889 ,573 ,640 ,1296 ,2142 
2013,Uzbekistan,13 ,28 ,24 ,18 ,24 ,24 ,148 ,91 ,922 ,113 ,530 ,140 ,52 ,57 ,76 ,90 ,124 ,105 ,240 ,61 ,122 ,75 ,67 ,60 
2013,Singapore,152 ,162 ,180 ,118 ,169 ,187 ,426 ,578 ,378 ,699 ,510 ,253 ,253 ,268 ,667 ,192 ,327 ,309 ,883 ,601 ,625 ,710 ,753 ,540 
2013,Syria,221 ,239 ,147 ,37 ,160 ,157 ,248 ,714 ,2231 ,394 ,149 ,219 ,3240 ,3910 ,4795 ,2798 ,4668 ,6278 ,3763 ,17525 ,41639 ,6217 ,4012 ,3676 
2013,Yemen,62 ,39 ,66 ,15 ,2 ,35 ,30 ,51 ,76 ,24 ,336 ,27 ,748 ,719 ,581 ,251 ,559 ,575 ,1354 ,4948 ,903 ,1021 ,677 ,1034 
2013,Iraq,30 ,24 ,66 ,26 ,7 ,70 ,63 ,118 ,201 ,68 ,59 ,22 ,2415 ,2488 ,4617 ,1047 ,1107 ,2627 ,3834 ,5802 ,6271 ,4338 ,4873 ,2657 
2013,Iran,463 ,794 ,540 ,320 ,163 ,434 ,571 ,517 ,1592 ,1772 ,2859 ,945 ,4523 ,6661 ,5188 ,1634 ,1829 ,3919 ,4082 ,6375 ,22443 ,16365 ,23967 ,10295 
2013,Israel,69 ,88 ,110 ,157 ,1115 ,196 ,325 ,113 ,254 ,334 ,360 ,753 ,6176 ,6699 ,16114 ,3973 ,4026 ,5053 ,10441 ,9458 ,10912 ,9035 ,12946 ,10949 
2013,India,235 ,244 ,333 ,259 ,651 ,223 ,551 ,484 ,494 ,1450 ,524 ,382 ,1574 ,1059 ,1353 ,667 ,692 ,1438 ,2356 ,2217 ,3022 ,1883 ,1708 ,2204 
2013,Indonesia,168 ,307 ,148 ,95 ,90 ,155 ,418 ,233 ,500 ,2229 ,593 ,393 ,536 ,405 ,440 ,286 ,292 ,481 ,779 ,989 ,1334 ,2455 ,961 ,510 
2013,Jordan,3 ,22 ,19 ,,26 ,32 ,105 ,84 ,556 ,58 ,69 ,123 ,1114 ,1568 ,3409 ,854 ,540 ,2308 ,2826 ,2514 ,5328 ,2839 ,2367 ,1733 
2013,Vietnam,340 ,248 ,583 ,155 ,288 ,1045 ,774 ,621 ,653 ,1673 ,866 ,724 ,2128 ,1062 ,1670 ,172 ,339 ,1424 ,3624 ,2503 ,2922 ,2710 ,3089 ,2601 
2014,Afghanistan,202 ,444 ,274 ,244 ,412 ,141 ,580 ,171 ,264 ,2159 ,1061 ,483 ,6820 ,8902 ,6704 ,7083 ,9549 ,17174 ,8133 ,8689 ,8449 ,6375 ,7198 ,8798 
2014,Egypt,134 ,105 ,102 ,124 ,160 ,139 ,173 ,348 ,156 ,63 ,115 ,750 ,2065 ,2133 ,2425 ,3171 ,2624 ,3586 ,5041 ,3871 ,4385 ,3042 ,2351 ,3537 
2014,Pakistan,577 ,1822 ,1006 ,1019 ,1094 ,794 ,927 ,1061 ,2319 ,1272 ,2516 ,1245 ,2609 ,2936 ,2630 ,2111 ,2868 ,2732 ,2661 ,2126 ,2822 ,3311 ,3774 ,4776 
2014,Palestine,50 ,32 ,57 ,45 ,9 ,86 ,318 ,176 ,84 ,55 ,36 ,47 ,2680 ,1740 ,3466 ,3755 ,1696 ,2642 ,10393 ,6344 ,2591 ,3009 ,2755 ,3267 
2014,Belarus,149 ,33 ,61 ,87 ,52 ,61 ,34 ,25 ,149 ,106 ,51 ,42 ,103 ,247 ,155 ,159 ,221 ,189 ,149 ,196 ,323 ,169 ,184 ,163 
2014,Russia,2046 ,2231 ,3396 ,3038 ,8303 ,2920 ,3161 ,2543 ,3727 ,4801 ,4827 ,2394 ,7353 ,12326 ,38327 ,26877 ,13191 ,10701 ,20930 ,15311 ,13590 ,10005 ,12264 ,9696 
2014,Philippines,1122 ,1977 ,2345 ,2865 ,4684 ,2243 ,1090 ,1351 ,2003 ,703 ,1430 ,1117 ,1724 ,3003 ,2697 ,8362 ,4076 ,2444 ,2050 ,1956 ,2729 ,6084 ,2162 ,3197 
